,symbol,metric,value
718,CERN,Ask,78.08 x 900
719,CERN,Day's Range,76.51 - 78.16
720,CERN,52 Week Range,67.96 - 84.20
721,CERN,Volume,"1,588,127"
722,CERN,Avg. Volume,"2,095,560"
723,CF,Previous Close,59.30
724,CF,Open,59.77
725,CF,Bid,58.10 x 900
726,CF,Ask,59.99 x 1000
727,CF,Day's Range,58.51 - 60.68
728,CF,52 Week Range,36.21 - 68.09
729,CF,Volume,"3,172,654"
730,CF,Avg. Volume,"3,023,280"
731,CRL,Previous Close,393.10
732,CRL,Open,394.34
733,CRL,Bid,390.24 x 1000
734,CRL,Ask,390.57 x 1100
735,CRL,Day's Range,387.13 - 395.08
736,CRL,52 Week Range,224.06 - 460.21
737,CRL,Volume,"128,531"
738,CRL,Avg. Volume,"377,095"
739,SCHW,Previous Close,81.72
740,SCHW,Open,80.76
741,SCHW,Bid,80.48 x 1100
742,SCHW,Ask,80.51 x 900
743,SCHW,Day's Range,78.85 - 81.15
744,SCHW,52 Week Range,46.42 - 84.49
745,SCHW,Volume,"3,824,590"
746,SCHW,Avg. Volume,"5,149,435"
747,CHTR,Previous Close,670.40
748,CHTR,Open,675.00
749,CHTR,Bid,679.67 x 900
750,CHTR,Ask,700.00 x 900
751,CHTR,Day's Range,669.51 - 681.80
752,CHTR,52 Week Range,585.45 - 825.62
753,CHTR,Volume,"1,328,502"
754,CHTR,Avg. Volume,"961,817"
755,CVX,Previous Close,115.14
756,CVX,Open,116.74
757,CVX,Bid,114.35 x 3000
758,CVX,Ask,114.87 x 1000
759,CVX,Day's Range,113.58 - 117.00
760,CVX,52 Week Range,83.53 - 118.08
761,CVX,Volume,"10,441,260"
762,CVX,Avg. Volume,"10,948,139"
763,CMG,Previous Close,"1,611.44"
764,CMG,Open,"1,627.25"
765,CMG,Bid,"1,592.12 x 900"
766,CMG,Ask,"1,692.00 x 900"
767,CMG,Day's Range,"1,576.00 - 1,630.00"
768,CMG,52 Week Range,"1,256.27 - 1,958.55"
769,CMG,Volume,"425,329"
770,CMG,Avg. Volume,"245,030"
771,CB,Previous Close,184.55
772,CB,Open,186.24
773,CB,Bid,186.47 x 800
774,CB,Ask,186.48 x 1000
775,CB,Day's Range,184.11 - 186.68
776,CB,52 Week Range,144.00 - 197.92
777,CB,Volume,"1,051,609"
778,CB,Avg. Volume,"1,634,641"
779,CHD,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
780,CI,Previous Close,197.79
781,CI,Open,198.79
782,CI,Bid,191.00 x 1200
783,CI,Ask,202.22 x 1400
784,CI,Day's Range,198.08 - 201.70
785,CI,52 Week Range,190.88 - 272.81
786,CI,Volume,"2,149,824"
787,CI,Avg. Volume,"2,041,261"
788,CINF,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
789,CTAS,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
790,CSCO,Previous Close,56.15
791,CSCO,Open,56.30
792,CSCO,Bid,56.28 x 1300
793,CSCO,Ask,56.41 x 3200
794,CSCO,Day's Range,55.67 - 56.82
795,CSCO,52 Week Range,43.35 - 60.27
796,CSCO,Volume,"24,432,006"
797,CSCO,Avg. Volume,"19,299,966"
798,C,Previous Close,63.81
799,C,Open,63.74
800,C,Bid,62.80 x 900
801,C,Ask,63.08 x 1000
802,C,Day's Range,62.43 - 64.12
803,C,52 Week Range,57.28 - 80.29
804,C,Volume,"24,846,709"
805,C,Avg. Volume,"20,101,304"
806,CFG,Previous Close,51.04
807,CFG,Open,48.81
808,CFG,Bid,48.78 x 1400
809,CFG,Ask,50.00 x 900
810,CFG,Day's Range,47.51 - 48.92
811,CFG,52 Week Range,32.58 - 51.54
812,CFG,Volume,"3,404,310"
813,CFG,Avg. Volume,"4,234,439"
814,CTXS,Previous Close,80.10
815,CTXS,Open,80.12
816,CTXS,Bid,76.48 x 800
817,CTXS,Ask,79.32 x 1100
818,CTXS,Day's Range,78.73 - 80.12
819,CTXS,52 Week Range,78.36 - 145.19
820,CTXS,Volume,"1,294,138"
821,CTXS,Avg. Volume,"1,673,980"
822,CLX,Previous Close,166.47
823,CLX,Open,166.22
824,CLX,Bid,167.03 x 1200
825,CLX,Ask,170.00 x 1200
826,CLX,Day's Range,166.22 - 169.66
827,CLX,52 Week Range,156.23 - 231.11
828,CLX,Volume,"1,187,110"
829,CLX,Avg. Volume,"1,249,050"
830,CME,Previous Close,220.01
831,CME,Open,220.46
832,CME,Bid,227.34 x 29200
833,CME,Ask,227.54 x 1100
834,CME,Day's Range,220.46 - 228.29
835,CME,52 Week Range,177.15 - 230.90
836,CME,Volume,"701,744"
837,CME,Avg. Volume,"1,323,109"
838,CMS,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
839,KO,Previous Close,53.07
840,KO,Open,53.33
841,KO,Bid,53.54 x 1200
842,KO,Ask,53.64 x 1400
843,KO,Day's Range,52.98 - 53.61
844,KO,52 Week Range,48.11 - 57.56
845,KO,Volume,"20,136,458"
846,KO,Avg. Volume,"15,483,215"
847,CTSH,Previous Close,78.40
848,CTSH,Open,79.31
849,CTSH,Bid,79.36 x 2200
850,CTSH,Ask,79.86 x 1300
851,CTSH,Day's Range,78.52 - 80.14
852,CTSH,52 Week Range,66.19 - 82.84
853,CTSH,Volume,"2,326,311"
854,CTSH,Avg. Volume,"2,430,465"
855,CL,Previous Close,75.48
856,CL,Open,76.02
857,CL,Bid,75.93 x 1100
858,CL,Ask,76.90 x 1100
859,CL,Day's Range,75.43 - 76.78
860,CL,52 Week Range,74.01 - 86.21
861,CL,Volume,"4,837,570"
862,CL,Avg. Volume,"4,039,028"
863,CMCSA,Previous Close,51.50
864,CMCSA,Open,51.44
865,CMCSA,Bid,51.81 x 2900
866,CMCSA,Ask,51.77 x 4000
867,CMCSA,Day's Range,51.41 - 52.25
868,CMCSA,52 Week Range,48.15 - 61.80
869,CMCSA,Volume,"22,351,376"
870,CMCSA,Avg. Volume,"18,245,485"
871,CMA,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
872,CAG,Previous Close,30.98
873,CAG,Open,31.19
874,CAG,Bid,31.24 x 800
875,CAG,Ask,31.53 x 1800
876,CAG,Day's Range,31.09 - 31.57
877,CAG,52 Week Range,30.44 - 39.09
878,CAG,Volume,"3,009,213"
879,CAG,Avg. Volume,"3,420,982"
880,COP,Previous Close,71.26
881,COP,Open,72.17
882,COP,Bid,70.67 x 1000
883,COP,Ask,71.11 x 1100
884,COP,Day's Range,70.18 - 72.94
885,COP,52 Week Range,38.77 - 77.98
886,COP,Volume,"6,849,464"
887,COP,Avg. Volume,"9,141,766"
888,ED,Previous Close,78.69
889,ED,Open,79.05
890,ED,Bid,80.04 x 800
891,ED,Ask,80.53 x 1000
892,ED,Day's Range,78.72 - 80.56
893,ED,52 Week Range,65.56 - 80.56
894,ED,Volume,"2,618,285"
895,ED,Avg. Volume,"2,627,527"
896,STZ,Previous Close,225.26
897,STZ,Open,226.26
898,STZ,Bid,221.49 x 900
899,STZ,Ask,226.91 x 3000
900,STZ,Day's Range,223.32 - 226.41
901,STZ,52 Week Range,204.46 - 244.75
902,STZ,Volume,"913,342"
903,STZ,Avg. Volume,"1,115,033"
904,COO,Previous Close,377.95
905,COO,Open,378.35
906,COO,Bid,391.89 x 900
907,COO,Ask,389.81 x 900
908,COO,Day's Range,374.03 - 394.90
909,COO,52 Week Range,337.40 - 463.59
910,COO,Volume,"917,367"
911,COO,Avg. Volume,"274,001"
912,CPRT,Previous Close,155.76
913,CPRT,Open,156.55
914,CPRT,Bid,152.31 x 2900
915,CPRT,Ask,152.44 x 1200
916,CPRT,Day's Range,152.12 - 156.61
917,CPRT,52 Week Range,101.92 - 161.12
918,CPRT,Volume,"1,142,992"
919,CPRT,Avg. Volume,"877,350"
920,GLW,Previous Close,37.53
921,GLW,Open,37.53
922,GLW,Bid,36.95 x 900
923,GLW,Ask,37.16 x 800
924,GLW,Day's Range,36.87 - 37.83
925,GLW,52 Week Range,34.81 - 46.82
926,GLW,Volume,"4,880,328"
927,GLW,Avg. Volume,"4,350,765"
928,CTVA,Previous Close,46.19
929,CTVA,Open,46.25
930,CTVA,Bid,42.10 x 1000
931,CTVA,Ask,48.50 x 800
932,CTVA,Day's Range,45.58 - 47.50
933,CTVA,52 Week Range,36.54 - 49.98
934,CTVA,Volume,"3,594,342"
935,CTVA,Avg. Volume,"2,592,764"
936,COST,Previous Close,525.51
937,COST,Open,529.99
938,COST,Bid,528.93 x 2200
939,COST,Ask,530.80 x 800
940,COST,Day's Range,524.77 - 537.50
941,COST,52 Week Range,307.00 - 560.78
942,COST,Volume,"2,984,376"
943,COST,Avg. Volume,"1,951,747"
944,CTRA,Previous Close,20.23
945,CTRA,Open,20.21
946,CTRA,Bid,20.12 x 1000
947,CTRA,Ask,20.29 x 800
948,CTRA,Day's Range,19.73 - 20.52
949,CTRA,52 Week Range,14.28 - 23.64
950,CTRA,Volume,"6,657,694"
951,CTRA,Avg. Volume,"12,269,647"
952,CCI,Previous Close,181.65
953,CCI,Open,182.00
954,CCI,Bid,182.61 x 900
955,CCI,Ask,182.51 x 1000
956,CCI,Day's Range,180.47 - 186.07
957,CCI,52 Week Range,146.15 - 204.62
958,CCI,Volume,"1,378,353"
959,CCI,Avg. Volume,"1,680,277"
960,CSX,Previous Close,35.57
961,CSX,Open,35.95
962,CSX,Bid,35.87 x 4000
963,CSX,Ask,36.05 x 28000
964,CSX,Day's Range,35.47 - 36.48
965,CSX,52 Week Range,27.70 - 36.57
966,CSX,Volume,"21,822,909"
967,CSX,Avg. Volume,"12,353,073"
968,CMI,Previous Close,215.89
969,CMI,Open,216.81
970,CMI,Bid,210.43 x 800
971,CMI,Ask,218.48 x 800
972,CMI,Day's Range,215.40 - 219.53
973,CMI,52 Week Range,209.09 - 277.09
974,CMI,Volume,"1,210,595"
975,CMI,Avg. Volume,"969,276"
976,CVS,Previous Close,89.99
977,CVS,Open,90.64
978,CVS,Bid,90.70 x 800
979,CVS,Ask,91.18 x 1000
980,CVS,Day's Range,90.11 - 91.59
981,CVS,52 Week Range,67.06 - 96.57
982,CVS,Volume,"5,660,063"
983,CVS,Avg. Volume,"5,410,333"
984,DHI,Previous Close,102.56
985,DHI,Open,103.67
986,DHI,Bid,102.00 x 800
987,DHI,Ask,103.10 x 800
988,DHI,Day's Range,101.23 - 104.05
989,DHI,52 Week Range,64.32 - 106.89
990,DHI,Volume,"2,493,857"
991,DHI,Avg. Volume,"2,595,244"
992,DHR,Previous Close,316.06
993,DHR,Open,319.31
994,DHR,Bid,303.00 x 1000
995,DHR,Ask,313.34 x 3000
996,DHR,Day's Range,310.36 - 321.87
997,DHR,52 Week Range,211.22 - 333.96
998,DHR,Volume,"2,971,118"
999,DHR,Avg. Volume,"2,394,650"
1000,DRI,Previous Close,143.05
1001,DRI,Open,143.64
1002,DRI,Bid,143.84 x 1000
1003,DRI,Ask,143.99 x 1200
1004,DRI,Day's Range,141.23 - 144.19
1005,DRI,52 Week Range,110.24 - 164.28
1006,DRI,Volume,"568,634"
1007,DRI,Avg. Volume,"1,197,212"
1008,DVA,Previous Close,96.91
1009,DVA,Open,96.07
1010,DVA,Bid,94.45 x 800
1011,DVA,Ask,95.56 x 900
1012,DVA,Day's Range,94.38 - 97.41
1013,DVA,52 Week Range,94.38 - 136.48
1014,DVA,Volume,"1,310,071"
1015,DVA,Avg. Volume,"779,246"
1016,DE,Previous Close,350.62
1017,DE,Open,352.62
1018,DE,Bid,348.07 x 800
1019,DE,Ask,348.40 x 800
1020,DE,Day's Range,345.00 - 352.75
1021,DE,52 Week Range,250.54 - 400.34
1022,DE,Volume,"1,000,924"
1023,DE,Avg. Volume,"1,796,817"
1024,DAL,Previous Close,36.64
1025,DAL,Open,36.48
1026,DAL,Bid,35.97 x 1100
1027,DAL,Ask,35.99 x 1000
1028,DAL,Day's Range,35.35 - 37.68
1029,DAL,52 Week Range,33.40 - 52.28
1030,DAL,Volume,"25,329,538"
1031,DAL,Avg. Volume,"13,019,247"
1032,XRAY,Previous Close,49.43
1033,XRAY,Open,50.59
1034,XRAY,Bid,51.02 x 800
1035,XRAY,Ask,51.04 x 800
1036,XRAY,Day's Range,50.21 - 51.37
1037,XRAY,52 Week Range,48.13 - 69.54
1038,XRAY,Volume,"1,082,980"
1039,XRAY,Avg. Volume,"1,498,603"
1040,DVN,Previous Close,41.59
1041,DVN,Open,42.37
1042,DVN,Bid,41.65 x 1300
1043,DVN,Ask,41.80 x 800
1044,DVN,Day's Range,40.95 - 43.23
1045,DVN,52 Week Range,14.34 - 45.56
1046,DVN,Volume,"9,839,584"
1047,DVN,Avg. Volume,"11,416,741"
1048,DXCM,Previous Close,560.22
1049,DXCM,Open,561.07
1050,DXCM,Bid,519.49 x 800
1051,DXCM,Ask,569.29 x 1000
1052,DXCM,Day's Range,514.59 - 561.07
1053,DXCM,52 Week Range,318.45 - 659.45
1054,DXCM,Volume,"1,436,261"
1055,DXCM,Avg. Volume,"589,863"
1056,FANG,Previous Close,106.43
1057,FANG,Open,108.17
1058,FANG,Bid,103.14 x 800
1059,FANG,Ask,106.50 x 800
1060,FANG,Day's Range,103.66 - 109.18
1061,FANG,52 Week Range,42.00 - 117.71
1062,FANG,Volume,"2,497,118"
1063,FANG,Avg. Volume,"2,917,437"
1064,DLR,Previous Close,165.70
1065,DLR,Open,165.86
1066,DLR,Bid,159.21 x 1100
1067,DLR,Ask,165.87 x 800
1068,DLR,Day's Range,163.49 - 166.76
1069,DLR,52 Week Range,124.65 - 169.97
1070,DLR,Volume,"1,305,582"
1071,DLR,Avg. Volume,"1,413,626"
1072,DFS,Previous Close,106.13
1073,DFS,Open,107.25
1074,DFS,Bid,0.00 x 800
1075,DFS,Ask,0.00 x 1000
1076,DFS,Day's Range,106.42 - 111.64
1077,DFS,52 Week Range,81.00 - 135.69
1078,DFS,Volume,"1,956,334"
1079,DFS,Avg. Volume,"1,776,839"
1080,DISCA,Previous Close,23.25
1081,DISCA,Open,23.05
1082,DISCA,Bid,23.81 x 1300
1083,DISCA,Ask,24.00 x 1100
1084,DISCA,Day's Range,23.04 - 24.03
1085,DISCA,52 Week Range,22.20 - 78.14
1086,DISCA,Volume,"9,129,999"
1087,DISCA,Avg. Volume,"6,318,815"
1088,DISCK,Previous Close,22.67
1089,DISCK,Open,22.71
1090,DISCK,Bid,22.81 x 2900
1091,DISCK,Ask,23.58 x 900
1092,DISCK,Day's Range,22.48 - 23.33
1093,DISCK,52 Week Range,21.72 - 66.70
1094,DISCK,Volume,"6,707,612"
1095,DISCK,Avg. Volume,"3,661,376"
1096,DISH,Previous Close,33.58
1097,DISH,Open,33.81
1098,DISH,Bid,33.41 x 900
1099,DISH,Ask,33.43 x 1400
1100,DISH,Day's Range,33.13 - 34.12
1101,DISH,52 Week Range,28.53 - 47.05
1102,DISH,Volume,"820,216"
1103,DISH,Avg. Volume,"2,140,529"
1104,DG,Previous Close,215.81
1105,DG,Open,217.08
1106,DG,Bid,219.60 x 1000
1107,DG,Ask,221.51 x 900
1108,DG,Day's Range,214.81 - 223.99
1109,DG,52 Week Range,173.50 - 239.35
1110,DG,Volume,"3,109,024"
1111,DG,Avg. Volume,"1,420,795"
1112,DLTR,Previous Close,134.83
1113,DLTR,Open,135.12
1114,DLTR,Bid,134.01 x 1000
1115,DLTR,Ask,137.70 x 1100
1116,DLTR,Day's Range,134.07 - 137.31
1117,DLTR,52 Week Range,84.26 - 149.37
1118,DLTR,Volume,"2,204,134"
1119,DLTR,Avg. Volume,"4,526,546"
1120,D,Previous Close,71.84
1121,D,Open,72.18
1122,D,Bid,72.51 x 800
1123,D,Ask,72.65 x 1100
1124,D,Day's Range,71.26 - 73.10
1125,D,52 Week Range,67.85 - 81.08
1126,D,Volume,"3,672,706"
1127,D,Avg. Volume,"3,412,277"
1128,DPZ,Previous Close,525.00
1129,DPZ,Open,527.03
1130,DPZ,Bid,510.97 x 800
1131,DPZ,Ask,524.00 x 800
1132,DPZ,Day's Range,517.53 - 527.53
1133,DPZ,52 Week Range,319.71 - 549.51
1134,DPZ,Volume,"279,799"
1135,DPZ,Avg. Volume,"458,422"
1136,DOV,Previous Close,172.86
1137,DOV,Open,173.00
1138,DOV,Bid,173.37 x 800
1139,DOV,Ask,173.45 x 800
1140,DOV,Day's Range,172.01 - 174.97
1141,DOV,52 Week Range,115.88 - 176.65
1142,DOV,Volume,"269,606"
1143,DOV,Avg. Volume,"698,076"
1144,DOW,Previous Close,53.18
1145,DOW,Open,53.00
1146,DOW,Bid,52.78 x 800
1147,DOW,Ask,53.25 x 900
1148,DOW,Day's Range,52.73 - 53.82
1149,DOW,52 Week Range,51.33 - 71.38
1150,DOW,Volume,"6,963,769"
1151,DOW,Avg. Volume,"5,945,380"
1152,DTE,Previous Close,111.96
1153,DTE,Open,112.62
1154,DTE,Bid,0.00 x 1200
1155,DTE,Ask,0.00 x 1000
1156,DTE,Day's Range,111.90 - 113.35
1157,DTE,52 Week Range,98.45 - 123.77
1158,DTE,Volume,"1,549,215"
1159,DTE,Avg. Volume,"909,701"
1160,DUK,Previous Close,97.65
1161,DUK,Open,98.10
1162,DUK,Bid,99.78 x 1000
1163,DUK,Ask,99.72 x 900
1164,DUK,Day's Range,97.31 - 99.95
1165,DUK,52 Week Range,85.56 - 108.38
1166,DUK,Volume,"3,105,495"
1167,DUK,Avg. Volume,"2,789,812"
1168,DRE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1169,DD,Previous Close,75.28
1170,DD,Open,75.38
1171,DD,Bid,75.69 x 900
1172,DD,Ask,75.70 x 900
1173,DD,Day's Range,74.83 - 76.64
1174,DD,52 Week Range,65.07 - 87.27
1175,DD,Volume,"3,533,880"
1176,DD,Avg. Volume,"2,974,368"
1177,DXC,Previous Close,30.54
1178,DXC,Open,30.70
1179,DXC,Bid,29.70 x 900
1180,DXC,Ask,30.69 x 900
1181,DXC,Day's Range,29.90 - 31.14
1182,DXC,52 Week Range,22.36 - 44.18
1183,DXC,Volume,"2,476,480"
1184,DXC,Avg. Volume,"1,636,764"
1185,EMN,Previous Close,115.86
1186,EMN,Open,116.22
1187,EMN,Bid,114.75 x 800
1188,EMN,Ask,115.01 x 1000
1189,EMN,Day's Range,114.78 - 116.35
1190,EMN,52 Week Range,94.33 - 130.47
1191,EMN,Volume,"806,090"
1192,EMN,Avg. Volume,"875,718"
1193,ETN,Previous Close,166.63
1194,ETN,Open,167.33
1195,ETN,Bid,165.33 x 800
1196,ETN,Ask,165.41 x 800
1197,ETN,Day's Range,164.48 - 168.10
1198,ETN,52 Week Range,113.79 - 175.72
1199,ETN,Volume,"1,319,749"
1200,ETN,Avg. Volume,"1,566,269"
1201,EBAY,Previous Close,67.48
1202,EBAY,Open,67.78
1203,EBAY,Bid,66.52 x 3200
1204,EBAY,Ask,67.08 x 3200
1205,EBAY,Day's Range,66.31 - 68.54
1206,EBAY,52 Week Range,48.67 - 81.19
1207,EBAY,Volume,"10,336,625"
1208,EBAY,Avg. Volume,"6,703,246"
1209,ECL,Previous Close,234.86
1210,ECL,Open,235.37
1211,ECL,Bid,237.05 x 800
1212,ECL,Ask,237.13 x 900
1213,ECL,Day's Range,234.90 - 238.93
1214,ECL,52 Week Range,201.15 - 238.93
1215,ECL,Volume,"407,155"
1216,ECL,Avg. Volume,"925,070"
1217,EIX,Previous Close,64.94
1218,EIX,Open,65.33
1219,EIX,Bid,64.98 x 800
1220,EIX,Ask,65.04 x 800
1221,EIX,Day's Range,64.94 - 65.75
1222,EIX,52 Week Range,53.92 - 66.21
1223,EIX,Volume,"735,597"
1224,EIX,Avg. Volume,"1,917,463"
1225,EW,Previous Close,109.82
1226,EW,Open,110.69
1227,EW,Bid,107.88 x 800
1228,EW,Ask,108.49 x 800
1229,EW,Day's Range,107.15 - 111.44
1230,EW,52 Week Range,78.44 - 123.27
1231,EW,Volume,"3,045,174"
1232,EW,Avg. Volume,"2,315,957"
1233,EA,Previous Close,122.59
1234,EA,Open,123.64
1235,EA,Bid,125.30 x 1000
1236,EA,Ask,125.36 x 800
1237,EA,Day's Range,123.09 - 125.59
1238,EA,52 Week Range,120.08 - 150.30
1239,EA,Volume,"3,371,301"
1240,EA,Avg. Volume,"3,062,914"
1241,EMR,Previous Close,86.79
1242,EMR,Open,87.68
1243,EMR,Bid,90.06 x 800
1244,EMR,Ask,90.05 x 800
1245,EMR,Day's Range,87.54 - 90.29
1246,EMR,52 Week Range,75.36 - 105.99
1247,EMR,Volume,"1,804,743"
1248,EMR,Avg. Volume,"3,003,261"
1249,ENPH,Previous Close,235.00
1250,ENPH,Open,242.26
1251,ENPH,Bid,218.00 x 800
1252,ENPH,Ask,219.95 x 1000
1253,ENPH,Day's Range,215.79 - 243.39
1254,ENPH,52 Week Range,108.88 - 282.46
1255,ENPH,Volume,"3,024,904"
1256,ENPH,Avg. Volume,"2,310,522"
1257,ETR,Previous Close,102.32
1258,ETR,Open,102.64
1259,ETR,Bid,101.63 x 900
1260,ETR,Ask,103.50 x 800
1261,ETR,Day's Range,102.43 - 103.50
1262,ETR,52 Week Range,85.78 - 115.02
1263,ETR,Volume,"1,451,422"
1264,ETR,Avg. Volume,"1,492,198"
1265,EOG,Previous Close,86.56
1266,EOG,Open,88.64
1267,EOG,Bid,85.72 x 800
1268,EOG,Ask,85.99 x 900
1269,EOG,Day's Range,85.15 - 89.10
1270,EOG,52 Week Range,48.20 - 98.20
1271,EOG,Volume,"4,324,849"
1272,EOG,Avg. Volume,"4,524,806"
1273,EFX,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1274,EQIX,Previous Close,803.45
1275,EQIX,Open,803.58
1276,EQIX,Bid,738.00 x 800
1277,EQIX,Ask,810.00 x 1400
1278,EQIX,Day's Range,791.76 - 805.21
1279,EQIX,52 Week Range,586.73 - 885.26
1280,EQIX,Volume,"414,969"
1281,EQIX,Avg. Volume,"541,417"
1282,EQR,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1283,ESS,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1284,EL,Previous Close,334.67
1285,EL,Open,339.30
1286,EL,Bid,335.06 x 800
1287,EL,Ask,335.30 x 1100
1288,EL,Day's Range,330.19 - 347.35
1289,EL,52 Week Range,231.97 - 357.82
1290,EL,Volume,"1,419,275"
1291,EL,Avg. Volume,"1,229,442"
1292,ETSY,Previous Close,249.56
1293,ETSY,Open,249.18
1294,ETSY,Bid,231.32 x 1000
1295,ETSY,Ask,231.99 x 1000
1296,ETSY,Day's Range,224.51 - 250.49
1297,ETSY,52 Week Range,153.61 - 307.75
1298,ETSY,Volume,"4,261,958"
1299,ETSY,Avg. Volume,"2,185,825"
1300,EVRG,Previous Close,64.50
1301,EVRG,Open,64.99
1302,EVRG,Bid,65.17 x 900
1303,EVRG,Ask,65.22 x 800
1304,EVRG,Day's Range,64.67 - 65.32
1305,EVRG,52 Week Range,51.88 - 69.45
1306,EVRG,Volume,"266,308"
1307,EVRG,Avg. Volume,"1,243,470"
1308,ES,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1309,RE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1310,EXC,Previous Close,52.92
1311,EXC,Open,53.33
1312,EXC,Bid,52.40 x 1000
1313,EXC,Ask,52.80 x 1800
1314,EXC,Day's Range,51.73 - 53.44
1315,EXC,52 Week Range,38.35 - 54.86
1316,EXC,Volume,"8,266,643"
1317,EXC,Avg. Volume,"5,241,322"
1318,EXPE,Previous Close,161.28
1319,EXPE,Open,160.61
1320,EXPE,Bid,154.50 x 800
1321,EXPE,Ask,156.10 x 1100
1322,EXPE,Day's Range,153.04 - 162.00
1323,EXPE,52 Week Range,118.30 - 191.85
1324,EXPE,Volume,"2,639,958"
1325,EXPE,Avg. Volume,"2,465,558"
1326,EXPD,Previous Close,123.01
1327,EXPD,Open,118.59
1328,EXPD,Bid,118.09 x 1100
1329,EXPD,Ask,118.30 x 800
1330,EXPD,Day's Range,115.01 - 120.00
1331,EXPD,52 Week Range,88.20 - 132.28
1332,EXPD,Volume,"703,860"
1333,EXPD,Avg. Volume,"1,054,235"
1334,EXR,Previous Close,202.16
1335,EXR,Open,203.19
1336,EXR,Bid,200.98 x 1100
1337,EXR,Ask,201.02 x 900
1338,EXR,Day's Range,199.22 - 203.95
1339,EXR,52 Week Range,106.56 - 204.74
1340,EXR,Volume,"196,892"
1341,EXR,Avg. Volume,"606,885"
1342,XOM,Previous Close,61.28
1343,XOM,Open,61.92
1344,XOM,Bid,60.82 x 1300
1345,XOM,Ask,60.94 x 1000
1346,XOM,Day's Range,60.35 - 62.23
1347,XOM,52 Week Range,40.44 - 66.38
1348,XOM,Volume,"22,010,686"
1349,XOM,Avg. Volume,"21,543,011"
1350,FFIV,Previous Close,238.26
1351,FFIV,Open,238.28
1352,FFIV,Bid,231.79 x 1000
1353,FFIV,Ask,231.93 x 800
1354,FFIV,Day's Range,230.99 - 238.28
1355,FFIV,52 Week Range,158.01 - 239.12
1356,FFIV,Volume,"526,631"
1357,FFIV,Avg. Volume,"409,920"
1358,FAST,Previous Close,60.89
1359,FAST,Open,60.27
1360,FAST,Bid,0.00 x 2200
1361,FAST,Ask,61.76 x 800
1362,FAST,Day's Range,59.83 - 60.69
1363,FAST,52 Week Range,43.37 - 61.76
1364,FAST,Volume,"1,850,796"
1365,FAST,Avg. Volume,"2,734,704"
1366,FRT,Previous Close,124.95
1367,FRT,Open,126.60
1368,FRT,Bid,123.00 x 900
1369,FRT,Ask,133.80 x 800
1370,FRT,Day's Range,124.60 - 127.57
1371,FRT,52 Week Range,81.85 - 135.56
1372,FRT,Volume,"487,277"
1373,FRT,Avg. Volume,"427,224"
1374,FDX,Previous Close,235.30
1375,FDX,Open,236.63
1376,FDX,Bid,240.11 x 1100
1377,FDX,Ask,241.50 x 1000
1378,FDX,Day's Range,236.38 - 241.36
1379,FDX,52 Week Range,216.34 - 319.90
1380,FDX,Volume,"2,435,999"
1381,FDX,Avg. Volume,"2,996,500"
1382,FIS,Previous Close,104.50
1383,FIS,Open,105.78
1384,FIS,Bid,102.83 x 800
1385,FIS,Ask,103.03 x 800
1386,FIS,Day's Range,102.88 - 106.90
1387,FIS,52 Week Range,102.80 - 155.96
1388,FIS,Volume,"2,091,644"
1389,FIS,Avg. Volume,"3,957,716"
1390,FITB,Previous Close,44.60
1391,FITB,Open,42.90
1392,FITB,Bid,42.35 x 1800
1393,FITB,Ask,42.80 x 1800
1394,FITB,Day's Range,41.51 - 42.77
1395,FITB,52 Week Range,25.27 - 45.92
1396,FITB,Volume,"5,680,948"
1397,FITB,Avg. Volume,"4,459,311"
1398,FE,Previous Close,38.62
1399,FE,Open,38.80
1400,FE,Bid,38.28 x 800
1401,FE,Ask,38.64 x 900
1402,FE,Day's Range,38.25 - 38.95
1403,FE,52 Week Range,28.80 - 39.94
1404,FE,Volume,"2,782,282"
1405,FE,Avg. Volume,"3,247,220"
1406,FRC,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1407,FISV,Previous Close,99.86
1408,FISV,Open,100.31
1409,FISV,Bid,100.02 x 1000
1410,FISV,Ask,100.49 x 1300
1411,FISV,Day's Range,98.79 - 101.38
1412,FISV,52 Week Range,92.06 - 127.34
1413,FISV,Volume,"5,774,871"
1414,FISV,Avg. Volume,"4,648,092"
1415,FLT,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1416,FMC,Previous Close,102.64
1417,FMC,Open,105.23
