,symbol,metric,value
3387,VRSN,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3388,VRSK,Previous Close,209.31
3389,VRSK,Open,206.54
3390,VRSK,Bid,213.49 x 800
3391,VRSK,Ask,213.65 x 800
3392,VRSK,Day's Range,207.50 - 216.49
3393,VRSK,52 Week Range,159.79 - 216.49
3394,VRSK,Volume,"718,054"
3395,VRSK,Avg. Volume,"806,678"
3396,VZ,Previous Close,50.73
3397,VZ,Open,50.59
3398,VZ,Bid,51.42 x 2200
3399,VZ,Ask,51.48 x 2200
3400,VZ,Day's Range,50.52 - 51.49
3401,VZ,52 Week Range,49.74 - 61.82
3402,VZ,Volume,"24,697,486"
3403,VZ,Avg. Volume,"19,582,796"
3404,VRTX,Previous Close,204.45
3405,VRTX,Open,205.78
3406,VRTX,Bid,199.51 x 800
3407,VRTX,Ask,203.86 x 1300
3408,VRTX,Day's Range,202.00 - 206.43
3409,VRTX,52 Week Range,176.36 - 242.99
3410,VRTX,Volume,"2,641,663"
3411,VRTX,Avg. Volume,"1,780,322"
3412,VFC,Previous Close,73.73
3413,VFC,Open,72.96
3414,VFC,Bid,71.92 x 1300
3415,VFC,Ask,71.96 x 2200
3416,VFC,Day's Range,71.41 - 73.51
3417,VFC,52 Week Range,65.34 - 90.79
3418,VFC,Volume,"1,384,982"
3419,VFC,Avg. Volume,"2,900,831"
3420,VIAC,Previous Close,29.56
3421,VIAC,Open,30.20
3422,VIAC,Bid,31.00 x 2200
3423,VIAC,Ask,31.15 x 1200
3424,VIAC,Day's Range,29.91 - 31.16
3425,VIAC,52 Week Range,28.90 - 101.97
3426,VIAC,Volume,"24,839,977"
3427,VIAC,Avg. Volume,"10,965,769"
3428,VTRS,Previous Close,12.20
3429,VTRS,Open,12.23
3430,VTRS,Bid,12.22 x 21500
3431,VTRS,Ask,12.20 x 2200
3432,VTRS,Day's Range,12.09 - 12.29
3433,VTRS,52 Week Range,11.96 - 18.86
3434,VTRS,Volume,"7,987,868"
3435,VTRS,Avg. Volume,"8,851,344"
3436,V,Previous Close,198.29
3437,V,Open,198.27
3438,V,Bid,196.41 x 800
3439,V,Ask,196.32 x 800
3440,V,Day's Range,194.04 - 198.47
3441,V,52 Week Range,190.10 - 252.67
3442,V,Volume,"10,652,701"
3443,V,Avg. Volume,"10,288,831"
3444,VNO,Previous Close,43.01
